Date,Region,Property_Type,Bedrooms,Distance_to_CBD_km,Rent_Price
14/04/2023,christchurch,apartment,4,3.1,714.22
04/11/2023,CHRISTCHURCH,HOUSE,1,4.2,730.34
19/05/2022,hamilton,apartment,2,10.4,607.93
10/09/2023,AUCKLAND,Apartment,1,2.9,460.57
30/03/2024,Hamilton,HOUSE,3,4.3,615.59
16/03/2022,DUNEDIN,apartment,3,0.5,783.6
01/09/2024,wellington,aprtment,3,4.9,610.85
11/03/2023,CHRISTCHURCH,HOUSE,2,2.1,780.47
29/05/2024,CHRISTCHURCH,HOUSE,3,1.4,775.25
12/04/2022,AUCKLAND,house,3,5.7,649.98
07/10/2022,christchurch,HOUSE,2,0.5,
15/07/2022,auckland,HOUSE,2,3.5,737.63
29/06/2023,WELLINGTON,townhouse,2,3.0,743.59
04/08/2023,CHRISTCHURCH,house,2,5.8,612.2
11/06/2024,Dunedin,house,1,9.0,506.94
24/07/2022,auckland ,apartment,1,8.6,427.59
19/03/2024,HAMILTON,aprtment,1,6.4,
07/04/2022,Wellington,apartment,3,17.0,672.83
30/08/2024,AUCKLAND,Townhouse,3,6.1,580.96
31/05/2023,Wellington,town house,3,19.3,717.67
24/10/2022,wellington,HOUSE,1,2.8,595.37
10/02/2022,AUCKLAND,House,2,20.0,686.12
19/03/2022,AUCKLAND,townhouse,3,6.1,690.86
21/12/2022,Christchurch,Apartment,2,8.3,660.55
08/05/2024,auckland ,town house,2,0.5,444.1
10/05/2022,HAMILTON,aprtment,2,9.5,647.31
20/03/2024,welling ton,town house,1,14.7,548.67
16/09/2024,DUNEDIN,HOUSE,3,4.9,754.2
28/01/2024,Dunedin,townhouse,2,11.4,741.04
14/04/2024,welling ton,House,3,5.1,586.45
17/02/2024,Dunedin  ,town house,5,2.1,906.01
16/11/2022,hamilton,HOUSE,2,4.8,692.97
12/12/2022,christchurch,HOUSE,3,5.3,567.34
24/06/2023,christchurch,HOUSE,4,4.2,733.51
06/11/2022,auckland ,Townhouse,3,5.7,672.74
20/07/2022,CHRISTCHURCH,townhouse,3,5.9,727.99
04/09/2024,christchurch,House,3,3.9,717.33
10/07/2022,Hamilton,townhouse,1,6.9,539.93
19/04/2022,DUNEDIN,town house,1,7.0,499.22
27/02/2023,Dunedin,HOUSE,3,6.6,537.58
24/09/2022,CHRISTCHURCH,House,1,12.4,461.13
11/01/2024,welling ton,house,3,3.7,592.06
12/09/2022,DUNEDIN,HOUSE,2,9.8,609.68
05/03/2022,WELLINGTON,house,1,3.7,638.11
11/02/2022,AUCKLAND,house,3,8.1,582.54
10/11/2022,Christchurch,House,2,8.2,594.98
13/08/2022,hamilton,Apartment,2,12.6,469.98
24/10/2023,auckland,,3,0.5,633.36
10/09/2022,DUNEDIN,town house,2,4.7,578.29
06/10/2024,DUNEDIN,town house,3,8.5,578.79
29/05/2023,dunedin,Apartment,2,0.8,528.63
13/11/2023,dunedin,town house,2,5.3,667.54
29/03/2024,hamilton,apartment,3,7.2,641.68
21/09/2023,wellington,apartment,1,21.2,575.43
07/07/2024,Dunedin,townhouse,2,10.6,557.81
02/08/2024,Wellington,apartment,3,8.7,687.05
23/07/2024,auckland,house,4,6.6,706.57
16/11/2024,christchurch,Townhouse,1,10.9,539.67
24/03/2023,hamilton,house,5,7.8,855.99
08/02/2024,Christchurch,apartment,1,0.5,499.36
04/10/2022,AUCKLAND,town house,3,5.4,821.27
01/10/2022,auckland ,Townhouse,3,2.0,639.38
24/03/2022,welling ton,townhouse,4,11.5,660.85
02/10/2024,DUNEDIN,House,3,0.5,858.56
23/05/2024,Dunedin,town house,4,0.5,651.32
31/08/2024,Wellington,townhouse,2,10.8,554.15
16/10/2024,CHRISTCHURCH,HOUSE,4,4.0,775.41
09/04/2023,Wellington,house,2,3.9,822.64
06/03/2022,WELLINGTON,town house,3,11.6,750.32
28/12/2022,Dunedin  ,Apartment,2,5.2,529.74
01/01/2024,DUNEDIN,HOUSE,3,2.4,777.67
07/10/2023,auckland ,HOUSE,1,5.3,745.15
22/11/2022,Auckland,house,2,4.2,558.52
19/02/2024,hamilton,Apartment,4,9.7,544.22
28/09/2022,AUCKLAND,Apartment,3,8.5,648.24
15/12/2024,WELLINGTON,HOUSE,4,10.9,688.1
12/03/2022,Dunedin,Apartment,2,3.3,639.04
17/05/2023,AUCKLAND,Apartment,1,5.7,436.8
29/03/2022,hamilton,Townhouse,3,10.5,550.77
15/03/2024,welling ton,Townhouse,3,1.2,748.61
09/11/2022,Wellington,Townhouse,2,16.3,680.84
11/02/2024,auckland,Townhouse,2,13.3,525.33
07/08/2023,Dunedin  ,,2,4.2,531.82
29/07/2024,WELLINGTON,aprtment,2,5.0,685.2
03/06/2024,AUCKLAND,house,1,4.9,688.38
02/02/2024,Dunedin,Townhouse,3,0.5,810.75
06/12/2023,DUNEDIN,townhouse,4,10.8,641.2
08/12/2023,WELLINGTON,townhouse,3,0.5,786.62
21/02/2023,Hamilton,aprtment,3,4.7,538.73
22/04/2024,Wellington,HOUSE,1,5.6,813.67
03/09/2024,welling ton,HOUSE,2,0.5,712.03
16/02/2022,AUCKLAND,townhouse,2,5.7,714.43
23/07/2024,hamilton,aprtment,5,5.1,634.08
11/08/2024,auckland ,HOUSE,3,8.6,792.31
02/04/2023,Dunedin  ,house,4,8.2,801.69
19/06/2023,hamilton,apartment,2,5.3,465.87
18/05/2024,welling ton,Townhouse,2,12.7,483.17
15/02/2023,Dunedin  ,aprtment,3,3.9,674.27
25/04/2022,hamilton,apartment,3,7.0,555.5
16/04/2024,hamilton,apartment,3,1.4,612.57
04/10/2024,welling ton,HOUSE,2,5.2,755.46
19/10/2022,WELLINGTON,House,2,7.4,784.89
02/08/2023,HAMILTON,aprtment,2,1.0,469.56
19/11/2022,DUNEDIN,HOUSE,1,12.1,422.66
19/04/2024,wellington,House,4,6.9,657.1
19/06/2023,Dunedin  ,house,2,2.2,737.32
10/01/2024,christchurch,townhouse,4,3.3,672.05
25/03/2022,Auckland,House,2,7.3,538.58
27/04/2024,AUCKLAND,HOUSE,2,9.4,552.87
14/02/2023,hamilton,aprtment,3,10.0,745.63
02/09/2023,auckland,House,4,16.2,744.89
09/02/2022,DUNEDIN,Townhouse,1,7.8,501.63
15/12/2022,Wellington,Apartment,2,9.2,465.04
17/04/2024,auckland ,Townhouse,4,0.5,684.05
01/08/2022,wellington,HOUSE,3,5.4,714.38
02/04/2022,Dunedin,Apartment,2,4.0,470.27
01/01/2024,welling ton,town house,1,7.6,653.99
27/11/2023,christchurch,house,4,19.0,664.93
20/06/2023,hamilton,house,2,14.0,705.85
10/06/2024,christchurch,town house,2,11.8,696.9
15/08/2022,DUNEDIN,aprtment,3,4.8,568.59
19/03/2023,hamilton,townhouse,2,5.3,591.86
04/03/2024,wellington,town house,2,4.6,512.25
20/01/2023,Wellington,townhouse,2,6.0,569.82
06/03/2022,auckland,House,3,8.6,741.5
13/03/2024,CHRISTCHURCH,HOUSE,3,2.4,882.97
08/04/2023,christchurch,aprtment,2,10.1,450.61
17/09/2022,auckland ,HOUSE,2,5.7,531.17
31/10/2024,DUNEDIN,house,3,7.0,540.86
01/03/2022,christchurch,town house,2,13.4,563.77
28/02/2024,Christchurch,Townhouse,3,9.8,566.12
11/03/2023,CHRISTCHURCH,Townhouse,3,1.3,750.47
16/06/2023,Auckland,apartment,2,10.1,525.77
18/01/2024,Auckland,House,3,7.0,648.55
04/12/2023,Hamilton,town house,3,6.5,697.13
18/05/2024,DUNEDIN,aprtment,1,12.0,542.0
06/08/2023,hamilton,Townhouse,2,0.5,588.13
16/06/2023,welling ton,townhouse,3,7.3,812.03
18/09/2023,DUNEDIN,apartment,2,4.5,701.5
01/02/2023,CHRISTCHURCH,apartment,1,9.5,591.97
24/10/2022,CHRISTCHURCH,House,3,3.9,592.11
21/02/2023,wellington,House,3,4.1,574.41
25/09/2022,Hamilton,Townhouse,1,0.5,475.82
16/03/2024,dunedin,townhouse,2,1.7,554.25
06/02/2022,Dunedin  ,aprtment,3,16.2,589.85
17/04/2022,christchurch,house,2,7.7,753.84
29/12/2022,hamilton,Townhouse,3,3.7,711.42
27/07/2023,Wellington,apartment,2,5.8,557.79
27/10/2024,WELLINGTON,HOUSE,3,5.8,569.68
23/12/2023,hamilton,aprtment,1,3.2,395.42
20/02/2023,Christchurch,House,2,11.0,686.05
18/09/2022,Christchurch,aprtment,3,7.3,532.28
11/05/2024,CHRISTCHURCH,apartment,2,13.3,541.18
11/04/2022,auckland,house,2,6.6,
01/11/2023,hamilton,aprtment,3,10.2,686.04
21/08/2023,welling ton,house,4,3.8,692.8
07/12/2022,Dunedin,Apartment,5,10.0,665.79
02/06/2022,Hamilton,apartment,3,5.7,671.45
19/03/2022,Dunedin  ,Apartment,1,5.9,406.11
03/06/2022,hamilton,aprtment,3,3.4,559.38
09/06/2023,Christchurch,apartment,2,4.6,585.47
11/02/2024,CHRISTCHURCH,HOUSE,2,1.6,614.88
09/06/2022,hamilton,town house,1,3.0,681.04
22/06/2023,christchurch,apartment,2,10.0,521.1
04/02/2022,Christchurch,HOUSE,3,5.0,570.21
21/08/2024,welling ton,town house,2,7.4,561.1
06/07/2022,AUCKLAND,House,3,0.5,
12/08/2024,Auckland,apartment,2,11.9,611.97
11/11/2024,welling ton,aprtment,2,0.5,530.82
06/07/2022,hamilton,house,2,4.0,658.0
10/11/2022,CHRISTCHURCH,townhouse,3,8.4,582.15
09/08/2022,Auckland,Townhouse,5,10.7,808.69
18/05/2022,hamilton,House,3,0.5,804.72
06/09/2024,christchurch,Apartment,1,4.0,648.12
03/08/2024,wellington,HOUSE,2,8.7,634.26
14/02/2024,HAMILTON,townhouse,1,9.6,414.14
18/03/2024,Hamilton,house,2,4.5,817.46
07/10/2024,CHRISTCHURCH,aprtment,2,6.4,560.71
17/01/2022,welling ton,town house,4,8.8,634.17
20/10/2024,Hamilton,town house,2,3.4,597.53
19/11/2022,Dunedin  ,HOUSE,5,3.4,708.66
05/09/2022,wellington,townhouse,4,2.9,767.43
18/04/2023,HAMILTON,House,2,1.3,735.17
15/04/2022,christchurch,townhouse,2,6.7,562.81
27/01/2023,christchurch,Townhouse,3,1.7,601.77
29/04/2023,christchurch,HOUSE,4,1.5,910.05
25/04/2023,christchurch,Apartment,3,2.6,560.5
13/12/2024,Dunedin,town house,3,6.0,523.33
19/08/2022,welling ton,house,1,4.3,559.79
27/09/2023,AUCKLAND,town house,1,7.4,491.89
29/09/2022,WELLINGTON,Townhouse,4,11.1,649.61
18/03/2023,AUCKLAND,Townhouse,2,3.5,753.67
31/01/2023,CHRISTCHURCH,Apartment,4,6.0,580.45
17/05/2023,WELLINGTON,House,2,9.9,587.26
23/02/2022,CHRISTCHURCH,aprtment,4,4.0,758.71
12/07/2022,WELLINGTON,HOUSE,2,7.8,771.25
11/06/2023,Dunedin  ,Townhouse,2,15.0,532.46
20/01/2023,welling ton,House,3,16.7,628.11
24/05/2022,WELLINGTON,house,2,10.4,537.94
24/06/2023,christchurch,HOUSE,4,15.9,637.34
04/12/2024,Dunedin  ,aprtment,2,8.3,703.93
16/04/2023,auckland ,Townhouse,2,13.9,461.18
07/08/2024,AUCKLAND,town house,1,5.6,689.52
05/09/2022,HAMILTON,house,1,5.7,718.18
01/10/2024,AUCKLAND,house,2,4.6,549.79
22/09/2024,Auckland,Townhouse,3,5.7,748.47
03/01/2022,Dunedin,apartment,2,7.5,624.42
30/01/2023,Auckland,House,2,8.7,554.53
25/08/2023,DUNEDIN,House,3,2.9,635.44
14/06/2022,Dunedin  ,apartment,5,10.0,808.35
24/05/2022,wellington,Apartment,1,6.7,519.9
27/04/2022,Christchurch,Townhouse,4,0.5,800.62
18/02/2022,WELLINGTON,apartment,3,3.6,550.71
17/05/2022,Auckland,,1,0.5,666.85
05/07/2023,Christchurch,House,3,23.0,832.17
26/02/2024,Dunedin  ,aprtment,3,4.2,702.1
24/02/2024,Wellington,HOUSE,3,5.0,659.89
30/11/2023,Dunedin  ,aprtment,3,7.2,492.93
03/02/2022,Dunedin,aprtment,3,16.2,534.69
01/07/2024,welling ton,apartment,4,7.9,793.0
20/03/2023,christchurch,House,3,6.9,749.37
18/03/2023,Wellington,House,4,7.3,708.61
03/12/2024,hamilton,townhouse,2,2.3,664.1
09/11/2022,dunedin,house,2,7.4,537.68
31/01/2024,dunedin,House,4,3.6,682.51
08/09/2023,Wellington,house,3,2.1,634.46
20/01/2022,christchurch,apartment,3,7.3,584.86
02/07/2024,AUCKLAND,townhouse,3,3.6,549.03
07/08/2023,Dunedin  ,aprtment,3,9.5,571.2
18/12/2023,AUCKLAND,aprtment,1,1.1,569.85
06/02/2022,dunedin,House,2,3.1,570.94
11/05/2023,hamilton,aprtment,2,11.5,534.85
03/01/2024,Auckland,House,2,6.8,561.92
23/10/2023,DUNEDIN,HOUSE,2,5.6,587.07
09/05/2022,auckland ,Apartment,2,0.5,616.98
01/12/2024,CHRISTCHURCH,town house,4,15.9,615.55
27/05/2024,DUNEDIN,townhouse,2,8.1,678.94
30/05/2022,Christchurch,town house,3,7.0,746.33
29/07/2022,dunedin,aprtment,1,10.4,651.57
29/09/2022,christchurch,,2,13.9,554.22
17/10/2023,Wellington,house,3,4.8,623.41
13/07/2023,dunedin,townhouse,1,3.5,523.15
29/12/2022,HAMILTON,town house,4,5.6,738.5
18/06/2024,Dunedin  ,town house,2,0.5,639.46
08/11/2024,Dunedin,HOUSE,4,11.9,845.69
20/08/2023,auckland ,apartment,4,1.9,672.92
13/05/2024,Christchurch,aprtment,2,7.0,531.32
13/11/2022,dunedin,Apartment,3,10.7,714.73
23/03/2022,christchurch,HOUSE,1,0.5,677.87
20/04/2022,Christchurch,aprtment,4,5.2,634.43
18/02/2022,wellington,aprtment,2,12.7,474.12
14/01/2024,christchurch,house,4,9.0,590.09
11/10/2024,wellington,townhouse,3,3.1,612.41
13/03/2023,Dunedin,HOUSE,3,5.8,805.82
22/06/2022,Hamilton,townhouse,3,0.5,515.8
12/01/2024,welling ton,House,3,4.7,648.65
16/05/2022,auckland,aprtment,1,14.9,420.82
12/06/2024,HAMILTON,townhouse,2,12.7,613.86
23/04/2024,hamilton,townhouse,3,12.2,630.65
22/12/2024,Hamilton,town house,2,7.6,640.27
09/03/2022,Dunedin,apartment,3,8.1,568.54
14/09/2023,Dunedin,aprtment,2,5.2,466.27
04/10/2022,Dunedin  ,house,3,2.9,664.23
08/11/2024,christchurch,apartment,1,8.5,683.99
01/08/2022,Dunedin,townhouse,2,12.2,480.3
05/05/2023,wellington,Apartment,2,8.5,549.9
04/02/2023,Auckland,HOUSE,1,0.5,647.75
14/10/2024,welling ton,apartment,3,5.6,606.19
28/04/2024,dunedin,House,2,5.8,559.65
07/09/2023,wellington,house,2,2.5,607.57
04/02/2022,Auckland,Townhouse,3,7.0,556.2
31/01/2023,Wellington,town house,3,0.5,630.84
21/09/2024,Auckland,Apartment,4,4.7,772.87
27/09/2024,auckland,Apartment,4,11.2,611.02
01/05/2023,hamilton,HOUSE,3,6.9,660.67
11/12/2023,Wellington,HOUSE,4,6.8,827.94
07/12/2023,Wellington,,3,3.9,534.68
28/10/2022,Dunedin  ,House,3,12.2,616.76
01/05/2023,christchurch,town house,2,0.5,532.37
26/06/2024,hamilton,town house,3,12.2,559.2
05/04/2024,hamilton,HOUSE,3,3.9,728.3
07/07/2022,welling ton,Townhouse,3,8.9,700.44
30/05/2023,Auckland,townhouse,3,5.6,533.15
26/11/2024,CHRISTCHURCH,town house,4,6.9,676.16
08/11/2023,DUNEDIN,Townhouse,4,2.2,897.48
20/01/2024,Christchurch,townhouse,3,6.8,686.62
27/09/2022,wellington,townhouse,3,2.6,
04/09/2023,HAMILTON,House,2,9.8,783.35
30/03/2023,wellington,house,2,0.5,749.25
24/10/2024,DUNEDIN,townhouse,3,4.6,608.38
08/07/2023,auckland,House,2,3.9,610.04
23/01/2024,Dunedin  ,,2,7.9,584.0
20/05/2024,AUCKLAND,apartment,3,12.0,534.06
10/04/2024,auckland ,House,2,3.3,695.15
31/01/2024,hamilton,Townhouse,1,2.6,631.97
21/07/2023,hamilton,HOUSE,3,6.2,764.18
03/03/2023,Dunedin,aprtment,3,4.8,554.84
25/06/2023,hamilton,aprtment,5,9.2,711.12
12/02/2022,CHRISTCHURCH,apartment,1,4.1,537.08
07/10/2024,CHRISTCHURCH,House,4,3.3,842.74
10/08/2024,christchurch,aprtment,1,4.4,498.29
20/06/2023,Dunedin  ,townhouse,3,3.4,782.24
01/05/2022,auckland,house,4,9.1,920.43
01/11/2023,CHRISTCHURCH,house,2,4.7,525.31
05/04/2023,Auckland,town house,3,15.5,780.05
30/10/2023,Dunedin,house,1,5.3,507.05
27/06/2023,Hamilton,,2,9.5,528.86
29/04/2024,welling ton,aprtment,2,10.2,468.47
08/03/2023,welling ton,HOUSE,3,10.1,866.52
07/07/2024,christchurch,Apartment,3,9.4,636.39
27/10/2024,auckland ,aprtment,2,7.6,588.74
15/02/2023,christchurch,,4,5.0,590.11
01/09/2022,Dunedin  ,aprtment,3,4.4,642.96
02/01/2024,AUCKLAND,townhouse,1,6.4,583.95
15/12/2022,dunedin,House,4,6.3,780.95
05/11/2022,HAMILTON,Townhouse,4,9.6,725.38
25/08/2024,welling ton,HOUSE,3,11.9,623.3
22/07/2023,Wellington,Apartment,3,1.3,548.46
29/07/2022,Christchurch,HOUSE,3,5.4,708.27
22/03/2023,Christchurch,apartment,3,3.4,481.15
06/08/2022,welling ton,House,3,2.8,781.28
21/10/2022,DUNEDIN,townhouse,3,7.1,600.37
14/12/2024,auckland ,Apartment,2,6.6,543.59
17/07/2022,auckland ,Apartment,2,3.0,471.88
29/04/2024,welling ton,Apartment,3,0.9,542.7
13/06/2023,WELLINGTON,Apartment,2,5.6,565.5
31/10/2024,Auckland,town house,3,10.7,650.66
22/12/2024,Auckland,house,3,1.4,713.84
04/09/2022,christchurch,townhouse,2,0.5,716.6
16/12/2024,dunedin,Apartment,2,8.1,464.26
05/04/2022,dunedin,house,1,3.6,763.71
18/04/2024,Dunedin,,2,5.9,698.2
03/04/2023,Dunedin,town house,4,3.5,633.74
02/06/2024,Dunedin  ,townhouse,2,8.4,562.26
10/08/2022,Dunedin,town house,3,2.2,609.8
05/09/2022,christchurch,,3,4.0,692.07
08/08/2024,Christchurch,house,3,2.3,867.49
06/07/2024,CHRISTCHURCH,aprtment,2,12.9,479.82
09/03/2024,auckland ,apartment,2,2.7,673.59
03/06/2022,wellington,town house,2,17.0,680.82
05/10/2023,dunedin,HOUSE,3,0.5,879.47
27/07/2023,Dunedin,town house,4,1.9,854.63
05/08/2024,hamilton,HOUSE,2,9.6,761.57
11/08/2023,Wellington,HOUSE,3,0.5,691.28
25/06/2022,welling ton,townhouse,4,14.5,825.68
29/12/2024,DUNEDIN,Townhouse,1,4.1,492.09
25/10/2023,Hamilton,,3,1.4,575.8
22/05/2024,AUCKLAND,Townhouse,3,8.5,749.94
03/04/2024,Dunedin,aprtment,2,4.4,667.29
01/12/2022,Dunedin,house,1,0.5,491.15
21/02/2023,HAMILTON,town house,3,14.2,573.45
18/09/2023,AUCKLAND,House,2,3.8,570.96
12/07/2022,Hamilton,aprtment,3,7.8,782.39
08/10/2023,hamilton,Apartment,3,4.6,630.0
14/03/2024,hamilton,aprtment,4,3.3,612.14
16/10/2023,Wellington,HOUSE,3,8.8,877.75
30/12/2022,dunedin,house,3,11.9,643.16
17/01/2023,Auckland,townhouse,3,8.3,736.09
01/02/2023,CHRISTCHURCH,Apartment,3,0.5,555.58
11/05/2023,AUCKLAND,townhouse,2,1.6,551.38
20/12/2023,Dunedin,town house,3,3.8,714.31
09/12/2024,Dunedin  ,aprtment,3,6.3,632.87
30/10/2023,Christchurch,town house,4,0.5,869.85
13/05/2023,hamilton,HOUSE,1,10.8,570.44
03/04/2022,Christchurch,town house,1,4.6,681.23
05/07/2024,wellington,townhouse,3,12.9,625.19
09/08/2023,Wellington,HOUSE,2,13.4,691.54
19/10/2023,Auckland,Townhouse,3,1.5,751.7
28/03/2024,HAMILTON,HOUSE,2,5.3,827.08
17/11/2023,Dunedin,Townhouse,3,8.5,551.37
02/07/2024,auckland,apartment,2,4.8,672.39
06/05/2023,auckland,apartment,3,5.3,516.63
23/11/2024,wellington,aprtment,4,0.5,655.97
15/08/2024,christchurch,aprtment,3,5.2,681.08
13/02/2024,christchurch,aprtment,2,5.4,624.19
28/11/2024,Hamilton,aprtment,3,8.1,541.67
07/09/2024,Dunedin,Townhouse,3,9.6,527.74
26/12/2023,WELLINGTON,town house,1,0.5,517.9
08/12/2022,Auckland,aprtment,3,6.2,767.47
25/12/2023,christchurch,Apartment,3,8.3,475.2
03/05/2024,Auckland,townhouse,5,7.6,856.76
25/03/2024,christchurch,Apartment,3,15.7,504.91
31/01/2023,Auckland,aprtment,2,5.9,508.56
07/04/2024,welling ton,town house,2,5.8,501.31
01/03/2023,auckland,house,2,1.5,603.96
08/03/2024,Auckland,apartment,2,9.3,691.86
24/03/2024,auckland,aprtment,4,8.1,793.75
02/04/2024,dunedin,aprtment,3,4.0,544.26
14/03/2022,christchurch,apartment,5,3.8,681.24
21/05/2022,Dunedin  ,Apartment,3,2.3,557.77
11/09/2023,auckland ,apartment,3,13.6,549.11
14/01/2024,DUNEDIN,House,2,7.8,538.77
29/09/2024,christchurch,Apartment,3,5.7,469.39
19/09/2024,hamilton,HOUSE,4,11.1,770.27
25/02/2022,hamilton,HOUSE,4,11.2,704.66
18/03/2023,Dunedin,aprtment,2,6.4,424.42
02/10/2023,HAMILTON,House,2,9.8,527.28
13/08/2022,welling ton,townhouse,1,0.7,602.53
27/06/2023,Christchurch,apartment,1,7.1,437.24
05/09/2022,Dunedin  ,HOUSE,3,10.8,851.01
06/03/2024,Hamilton,Apartment,2,21.3,599.54
28/12/2024,welling ton,Apartment,3,8.0,585.16
07/08/2022,Dunedin  ,apartment,1,13.1,628.53
25/12/2024,hamilton,town house,2,10.1,461.58
10/04/2023,Dunedin,Townhouse,3,5.4,614.29
30/12/2022,hamilton,HOUSE,4,6.1,634.71
04/02/2024,Auckland,townhouse,4,2.3,583.14
10/11/2023,dunedin,apartment,3,5.1,515.99
30/05/2022,wellington,House,1,4.1,614.95
10/09/2022,wellington,aprtment,2,11.8,509.83
24/11/2023,Auckland,town house,3,15.2,707.82
19/12/2023,Wellington,HOUSE,2,7.2,550.72
03/12/2023,hamilton,apartment,1,7.9,597.33
06/06/2022,wellington,Townhouse,3,0.9,674.21
15/05/2023,Dunedin  ,Apartment,3,5.0,589.08
01/08/2024,hamilton,Apartment,3,7.9,550.07
26/08/2023,DUNEDIN,town house,1,1.2,499.63
26/01/2022,DUNEDIN,HOUSE,4,2.6,646.46
20/04/2023,WELLINGTON,townhouse,3,4.6,
27/11/2023,wellington,Townhouse,2,5.1,509.49
05/02/2024,WELLINGTON,HOUSE,1,8.4,509.9
28/11/2024,WELLINGTON,apartment,2,4.9,515.2
21/05/2022,Dunedin,HOUSE,2,0.5,653.21
01/08/2023,DUNEDIN,House,2,4.2,601.67
28/02/2022,Dunedin,Townhouse,2,4.2,596.17
27/07/2024,dunedin,Townhouse,3,6.5,693.49
24/06/2024,CHRISTCHURCH,aprtment,4,0.5,765.51
17/12/2022,wellington,apartment,4,0.5,762.26
23/08/2022,DUNEDIN,Townhouse,3,4.5,603.45
26/07/2024,Christchurch,house,3,6.5,795.75
30/06/2023,christchurch,apartment,2,4.7,635.34
22/02/2022,CHRISTCHURCH,HOUSE,3,5.1,891.55
04/03/2022,hamilton,townhouse,1,4.0,697.8
10/07/2022,christchurch,aprtment,3,3.9,557.31
23/10/2022,Wellington,HOUSE,3,11.9,552.34
22/05/2023,auckland,apartment,2,17.1,469.74
25/07/2023,wellington,House,2,4.5,778.89
21/03/2023,hamilton,townhouse,4,6.3,748.25
13/01/2023,welling ton,town house,1,6.9,488.62
11/03/2022,Wellington,apartment,3,6.5,540.48
03/04/2024,Hamilton,townhouse,4,11.1,
23/10/2023,dunedin,HOUSE,3,3.0,801.74
21/01/2024,Hamilton,aprtment,2,0.5,629.92
07/09/2024,HAMILTON,House,2,7.1,736.38
13/08/2023,dunedin,Townhouse,1,13.1,478.05
14/04/2024,Wellington,house,3,4.0,889.94
20/07/2022,Dunedin,aprtment,1,0.5,601.1
18/12/2024,CHRISTCHURCH,apartment,2,7.6,571.95
30/06/2022,Wellington,apartment,2,6.6,546.56
19/11/2022,Dunedin  ,house,5,6.2,683.95
07/03/2022,auckland,house,2,9.2,565.65
26/09/2024,dunedin,apartment,1,1.9,416.58
05/10/2022,Dunedin,house,1,8.0,501.35
19/01/2023,auckland ,Townhouse,4,8.1,572.55
15/04/2024,auckland,apartment,1,2.7,579.27
08/04/2024,Hamilton,HOUSE,3,9.5,591.07
21/10/2023,Christchurch,house,3,6.9,628.25
29/01/2022,Auckland,Apartment,1,9.6,638.33
16/08/2024,Wellington,townhouse,2,3.9,564.21
28/05/2024,DUNEDIN,Apartment,4,14.7,611.17
08/10/2024,DUNEDIN,House,2,4.2,555.79
05/08/2022,Dunedin,town house,3,8.2,544.38
15/11/2024,Christchurch,town house,3,10.9,619.92
02/01/2023,wellington,Apartment,3,5.7,596.59
01/06/2024,DUNEDIN,HOUSE,2,1.7,559.47
31/08/2022,AUCKLAND,townhouse,3,11.2,774.79
05/10/2022,Dunedin,Townhouse,3,9.6,503.77
20/01/2023,christchurch,apartment,3,8.5,731.29
09/11/2022,dunedin,house,2,7.4,537.68
10/08/2023,Auckland,townhouse,2,3.8,693.83
13/02/2023,DUNEDIN,apartment,3,8.7,619.59
17/06/2022,hamilton,townhouse,3,12.4,549.02
11/01/2022,dunedin,Apartment,1,13.7,573.09
12/06/2024,CHRISTCHURCH,townhouse,2,4.4,534.15
11/04/2024,Dunedin  ,House,5,13.1,982.76
11/09/2022,Wellington,Townhouse,4,7.7,610.19
19/10/2023,Auckland,aprtment,3,5.4,670.09
16/05/2024,AUCKLAND,aprtment,2,8.0,564.63
17/11/2022,Dunedin  ,Apartment,3,4.3,713.16
31/03/2022,HAMILTON,apartment,5,3.8,708.0
31/03/2022,hamilton,townhouse,3,8.1,
25/03/2024,auckland,town house,3,10.5,741.06
24/05/2024,WELLINGTON,House,2,1.9,669.74
08/04/2024,auckland,house,1,11.6,577.77
11/07/2024,AUCKLAND,Apartment,2,9.7,694.83
12/11/2023,hamilton,apartment,4,14.0,752.87
24/11/2022,hamilton,townhouse,3,5.4,694.27
05/05/2022,Hamilton,townhouse,2,13.3,498.41
27/04/2024,hamilton,apartment,1,7.5,429.74
06/08/2023,HAMILTON,townhouse,2,14.6,530.31
07/07/2024,Hamilton,Townhouse,3,7.4,726.34
30/11/2022,christchurch,House,3,6.5,851.57
09/05/2024,christchurch,Apartment,1,10.1,484.45
05/02/2023,WELLINGTON,town house,3,4.0,712.66
12/01/2022,Auckland,house,1,7.9,697.33
10/09/2023,Auckland,aprtment,2,0.5,707.1
13/07/2023,Hamilton,Apartment,1,6.0,509.61
28/10/2023,Christchurch,Townhouse,5,8.6,911.74
22/09/2022,DUNEDIN,townhouse,3,6.9,535.44
08/03/2023,WELLINGTON,aprtment,1,3.4,629.79
17/09/2023,Dunedin  ,aprtment,2,6.4,651.5
14/04/2024,CHRISTCHURCH,House,1,10.0,456.51
13/04/2024,AUCKLAND,townhouse,4,13.6,824.91
04/09/2023,Dunedin,Apartment,2,1.9,611.06
31/07/2024,Auckland,House,1,3.0,604.46
30/05/2022,Auckland,aprtment,3,3.0,567.42
15/06/2023,HAMILTON,aprtment,1,9.1,400.39
09/01/2023,Auckland,House,3,8.0,673.15
31/12/2024,Auckland,aprtment,2,11.9,662.19
06/08/2023,welling ton,HOUSE,4,2.1,656.97
17/05/2023,dunedin,Townhouse,4,8.2,612.62
